,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average,90% Confidence
100,1.0,1.0,1.0,1.0,1.0,0.9833333333333334,1.0,1.0,0.9500000000000002,1.0,0.9933333333333334,0.025125544598580216
150,1.0,1.0,1.0,1.0,1.0,0.9833333333333334,1.0,1.0,0.9500000000000002,1.0,0.9933333333333334,0.025125544598580216
200,1.0,0.9,0.9833333333333334,0.9833333333333334,1.0,1.0,1.0,0.9666666666666668,1.0,1.0,0.9833333333333334,0.049040041613263315
250,0.9500000000000001,1.0,0.9500000000000001,0.9500000000000001,0.9629629629629629,0.9833333333333334,1.0,0.9500000000000002,1.0,0.9666666666666668,0.9712962962962963,0.03497626240322817
300,1.0,0.9166666666666666,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9833333333333334,0.9,0.9666666666666668,0.9166666666666666,0.9616666666666666,0.058860819394669014
350,0.9666666666666667,0.9500000000000001,0.9666666666666668,0.9666666666666667,1.0,0.9666666666666668,0.9500000000000001,0.9666666666666668,0.9833333333333334,0.9666666666666668,0.9683333333333335,0.022771958634641508
400,0.9500000000000001,0.9500000000000002,1.0,0.9333333333333332,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9666666666666668,0.9166666666666666,0.8833333333333334,0.945,0.04756188830456655
450,0.9666666666666667,0.9333333333333335,0.9166666666666666,0.9333333333333335,0.9833333333333334,0.9333333333333332,0.9166666666666669,0.9,0.8833333333333334,0.9333333333333335,0.93,0.04554391726931467
500,0.9500000000000001,0.9166666666666666,1.0,0.9666666666666667,1.0,0.9333333333333332,0.9500000000000001,0.8333333333333335,0.9,0.9,0.9350000000000002,0.07893199980651075
550,0.9666666666666667,0.9666666666666667,0.9500000000000001,0.9333333333333335,0.9666666666666668,0.8833333333333334,0.9500000000000001,0.9166666666666666,0.9,0.9666666666666667,0.9400000000000001,0.0477983200265321
600,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.9666666666666668,0.9166666666666666,0.9666666666666668,0.9500000000000001,0.9333333333333335,1.0,0.9483333333333335,0.05266099055656406
650,0.8833333333333333,0.9,0.9500000000000001,0.9500000000000001,0.9666666666666667,0.9666666666666667,0.9499999999999998,0.9,0.9500000000000001,0.9500000000000001,0.9366666666666665,0.04716520174158139
700,0.9833333333333334,1.0,0.9,0.9333333333333335,0.9499999999999998,1.0,0.8999999999999999,0.9666666666666668,0.9166666666666669,0.9500000000000001,0.9499999999999998,0.05879694436837211
750,0.9333333333333335,1.0,0.9333333333333335,0.9500000000000001,0.9500000000000001,1.0,0.9333333333333332,0.9166666666666666,0.9166666666666666,0.9500000000000001,0.9483333333333333,0.04660416833335063
800,0.9333333333333332,0.9333333333333335,1.0,0.9500000000000001,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9166666666666666,0.9666666666666668,0.9833333333333334,0.9583333333333333,0.03925118488232676
850,0.9166666666666666,0.9833333333333334,0.9833333333333334,0.9500000000000001,0.9666666666666668,0.9666666666666667,0.9666666666666668,0.9166666666666669,0.9500000000000001,0.9666666666666668,0.9566666666666667,0.03718645273244418
900,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9500000000000001,0.9666666666666667,0.9833333333333334,0.9500000000000001,0.9833333333333334,0.9500000000000001,0.9716666666666667,0.024672795000019947
950,0.9500000000000001,0.9333333333333335,0.9166666666666666,0.9166666666666666,0.9666666666666667,0.9666666666666668,0.9500000000000001,0.9500000000000001,0.9500000000000002,0.9833333333333334,0.9483333333333335,0.03346331604033696
1000,0.9166666666666666,0.9666666666666668,0.9333333333333335,0.9833333333333334,0.9333333333333332,0.9833333333333334,0.9500000000000001,0.9833333333333334,0.9166666666666666,0.9666666666666667,0.9533333333333334,0.042114518756069794
1050,0.9833333333333334,0.8833333333333334,0.9833333333333334,0.9166666666666669,1.0,0.9666666666666668,0.9666666666666668,0.9833333333333334,0.9500000000000001,0.9666666666666667,0.96,0.05510189355010227
1100,0.9833333333333334,0.9500000000000001,0.9166666666666666,1.0,0.9333333333333332,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9666666666666667,0.9166666666666666,0.9516666666666665,0.041485237624649125
1150,0.9666666666666667,0.9666666666666667,0.9666666666666668,0.9500000000000001,0.9833333333333334,0.9333333333333332,0.9500000000000001,1.0,0.9666666666666668,0.9833333333333334,0.9666666666666668,0.030030769729329176
1200,0.9333333333333335,0.9333333333333335,0.9833333333333334,0.9666666666666667,0.9500000000000001,0.9499999999999998,0.9833333333333334,0.9666666666666668,0.9666666666666668,0.9500000000000001,0.9583333333333334,0.028091212847064017
1250,0.9666666666666667,0.9666666666666667,0.9833333333333334,0.9666666666666668,0.9499999999999998,0.9500000000000001,0.9500000000000001,1.0,0.9666666666666667,1.0,0.9700000000000001,0.029526014961689617
1300,0.9333333333333335,0.9833333333333334,0.9666666666666667,0.9833333333333334,0.9166666666666666,0.9833333333333334,0.9833333333333334,0.9499999999999998,0.9500000000000002,0.9833333333333334,0.9633333333333333,0.03837990333334635
1350,0.9500000000000001,0.9666666666666667,0.9500000000000001,0.9333333333333335,0.9500000000000001,0.9666666666666667,0.9666666666666667,0.9333333333333335,0.9500000000000001,0.9833333333333334,0.9550000000000001,0.024672795000010204
1400,0.9666666666666667,0.9666666666666668,0.9500000000000001,0.9666666666666667,0.9666666666666668,0.9666666666666667,0.9833333333333334,0.9833333333333334,0.9166666666666666,0.9833333333333334,0.9650000000000002,0.03113656476437407
1450,0.9000000000000002,0.9666666666666668,0.9333333333333335,0.9333333333333335,0.9500000000000002,0.9499999999999998,0.9833333333333334,1.0,0.9500000000000001,0.9333333333333332,0.95,0.0442040961468826
1500,0.9833333333333334,0.9666666666666667,0.9333333333333332,0.9333333333333332,0.9333333333333335,0.9666666666666667,1.0,0.9499999999999998,0.9666666666666667,0.9666666666666667,0.96,0.0351073270377261
1550,0.9666666666666667,0.9500000000000001,0.9500000000000001,0.9333333333333332,1.0,0.9333333333333335,1.0,1.0,0.9833333333333334,0.9333333333333335,0.9650000000000001,0.04496265840620313
1600,0.9500000000000001,0.9833333333333334,0.9333333333333332,0.9833333333333334,0.9666666666666667,0.9666666666666667,0.9833333333333334,0.9833333333333334,0.9500000000000001,1.0,0.97,0.03197019572363941
1650,0.9166666666666666,0.9666666666666667,0.9333333333333335,0.9333333333333335,0.9833333333333334,0.9833333333333334,0.9333333333333335,1.0,0.9666666666666668,0.9333333333333335,0.9550000000000001,0.0442890224425507
1700,0.9666666666666668,0.9833333333333334,0.9166666666666666,0.9500000000000001,0.9500000000000001,0.9666666666666667,0.9666666666666668,0.9833333333333334,0.9333333333333332,0.9,0.9516666666666668,0.0432589042378909
1750,0.9500000000000001,0.9666666666666667,0.9833333333333334,0.9666666666666667,0.9333333333333335,0.9833333333333334,0.9499999999999998,0.9833333333333334,0.9166666666666665,0.9833333333333334,0.9616666666666667,0.03688205645783746
1800,0.9166666666666666,0.9666666666666667,0.9666666666666667,0.9500000000000001,0.9333333333333335,0.9333333333333335,0.9166666666666666,1.0,0.9666666666666667,0.9666666666666667,0.9516666666666665,0.04148523762465492
1850,0.9333333333333335,0.9499999999999998,0.9666666666666668,0.9500000000000001,0.9333333333333335,0.9833333333333334,0.9333333333333332,0.9333333333333335,0.9333333333333332,0.9166666666666666,0.9433333333333334,0.030527179718311162
1900,0.8833333333333334,0.9666666666666667,0.9166666666666666,0.9333333333333332,0.9666666666666667,0.9833333333333334,1.0,0.9666666666666667,0.9833333333333334,1.0,0.9600000000000002,0.05905202992338737
1950,0.9666666666666667,0.9833333333333334,0.9500000000000001,0.9500000000000001,0.9666666666666667,0.9500000000000001,1.0,0.9333333333333335,0.9666666666666668,0.9333333333333335,0.9600000000000002,0.03289705999999088
2000,0.8999999999999999,0.9666666666666667,0.9833333333333334,0.8833333333333334,1.0,0.9500000000000001,0.9666666666666667,1.0,0.9833333333333334,1.0,0.9633333333333333,0.06464176955719476
2050,0.9500000000000001,0.9666666666666668,0.9500000000000001,0.9666666666666668,0.9666666666666667,0.9,0.9500000000000001,0.9500000000000001,0.9166666666666665,0.9166666666666666,0.9433333333333334,0.037186452732450644
2100,0.9500000000000001,0.9333333333333335,0.9333333333333335,0.9666666666666667,0.9666666666666668,0.9833333333333334,0.9333333333333332,0.9833333333333334,0.9666666666666668,0.9666666666666667,0.9583333333333334,0.030650026008283694
2150,0.9833333333333334,0.9666666666666668,0.9499999999999998,0.9500000000000001,0.9666666666666668,1.0,0.9500000000000001,0.9333333333333332,0.9666666666666667,0.9833333333333334,0.9649999999999999,0.03113656476439722
2200,1.0,0.9666666666666668,0.9666666666666668,0.9500000000000001,0.9666666666666667,1.0,1.0,0.9833333333333334,0.9666666666666668,0.9500000000000001,0.975,0.030650026008299375
2250,0.9666666666666667,1.0,0.9500000000000001,0.9666666666666668,0.9833333333333334,0.9666666666666667,0.9666666666666668,0.9166666666666669,0.9500000000000001,0.9500000000000001,0.9616666666666667,0.03478474138857695
2300,0.9833333333333334,0.9499999999999998,1.0,0.9833333333333334,1.0,0.9500000000000001,0.9833333333333334,0.9833333333333334,0.9166666666666666,0.9666666666666667,0.9716666666666667,0.04075416296206923
2350,0.9500000000000001,0.9500000000000001,0.9666666666666667,0.9500000000000001,0.9,0.9666666666666667,0.9666666666666668,0.9833333333333334,0.9166666666666666,0.9500000000000001,0.95,0.03876955701183757
2400,0.9333333333333332,0.9833333333333334,0.9500000000000001,0.9666666666666668,0.9500000000000001,1.0,0.9666666666666667,0.9666666666666668,0.9666666666666667,0.9833333333333334,0.9666666666666668,0.030030769729329176
2450,0.9666666666666668,0.9500000000000001,0.9500000000000001,0.9833333333333334,0.9666666666666667,0.9833333333333334,0.9666666666666667,0.9833333333333334,0.9499999999999998,0.9333333333333332,0.9633333333333335,0.026860337012563833
2500,0.9833333333333334,0.9666666666666667,1.0,0.9833333333333334,0.9833333333333334,0.9833333333333334,1.0,0.9833333333333334,0.9666666666666668,0.9666666666666667,0.9816666666666668,0.019189951666651262
